Site Name ,SID ,EQP ,Agency ,Lat ,Lon 
AMARILLO,AMA,RDA,NWS,+35 14 00,-101 42 33.4
AMARILLO,AMA,RPG,NWS,,
AMARILLO,AMA,MSCF,NWS,,
AMARILLO,AMA,RAEG,NWS,,
AUSTIN/SAN ANTONIO,EWX,RAEG,NWS,,
AUSTIN/SAN ANTONIO,EWX,MSCF,NWS,,
AUSTIN/SAN ANTONIO,EWX,RDA,NWS,+29 42 14.6,-98 01 43
AUSTIN/SAN ANTONIO,EWX,RPG,NWS,,
BARKSDALE AFB (26 OWS EAST) TRAINER,BRK,OPTR,AFWA,,
BARKSDALE AFB (26 OWS WEST) TRAINER,BRK,OPTR,AFWA,,
BROWNSVILLE,BRO,RAEG,NWS,,
BROWNSVILLE,BRO,MSCF,NWS,,
BROWNSVILLE,BRO,RDA,NWS,+25 54 57.6,-97 25 08.28
BROWNSVILLE,BRO,RPG,NWS,,
CORPUS CHRISTI,CRP,RDA,NWS,+27 47 02.46,-97 30 40.5
CORPUS CHRISTI,CRP,RPG,NWS,,
CORPUS CHRISTI,CRP,MSCF,NWS,,
CORPUS CHRISTI,CRP,RAEG,NWS,,
DALLAS LOVE FIELD,FWD,SPG,NWS,32 55 34,-96 58 05
DALLAS/FT WORTH,FWD,SPG,NWS,33 03 54,-96 55 05
DALLAS/FT WORTH,FWS,RAEG,NWS,,
DALLAS/FT WORTH,FWD,MSCF,NWS,,
DALLAS/FT WORTH,FWS,RDA,NWS,+32 34 22.8,-97 18 11.34
DALLAS/FT WORTH,FWD,RPG,NWS,,
DYESS AFB,DYX,RDA,AFWA,+32 32 18.6,-99 15 15.6
DYESS AFB,DYX,RPG,AFWA,,
DYESS AFB,SJT,MSCF,NWS,,
DYESS AFB,DYX,RAEG,AFWA,,
FT HOOD,GRK,RAEG,AFWA,,
FT HOOD,FWD,MSCF,NWS,,
FT HOOD,GRK,RDA,AFWA,+30 43 18.6,-97 22 58.6
FT HOOD,GRK,RPG,AFWA,,
FT POLK,POE,RDA,AFWA,+31 09 19,-92 58 34
FT POLK,POE,RPG,AFWA,,
FT POLK,LCH,MSCF,NWS,,
FT POLK,POE,RAEG,AFWA,,
HAMMOND,HDC,RPG,NWS,,
HAMMOND,HDC,RDA,NWS,+30 31 8,-90 24 27
HAMMOND,HDC,MSCF,NWS,,
HOUSTON,HGX,RAEG,NWS,,
HOUSTON,HGX,MSCF,NWS,,
HOUSTON,HGX,RDA,NWS,+29 28 18.84,-95 04 43.44
HOUSTON,HGX,RPG,NWS,,
HOUSTON HOBBY,HGX,SPG,NWS,29 30 58,-95 14 31
HOUSTON INTERNATIONAL,HGX,SPG,NWS,30 03 54,-95 34 01
LAKE CHARLES,LCH,RAEG,NWS,,
LAKE CHARLES,LCH,MSCF,NWS,,
LAKE CHARLES,LCH,RDA,NWS,+30 07 31.1,-93 12 57.2
LAKE CHARLES,LCH,RPG,NWS,,
LAUGHLIN AFB,DFX,RDA,AFWA,+29 16 23.3,-100 16 49.2
LAUGHLIN AFB,DFX,RPG,AFWA,,
LAUGHLIN AFB,EWX,MSCF,NWS,,
LAUGHLIN AFB,DFX,RAEG,AFWA,,
LUBBOCK,LBB,RAEG,NWS,,
LUBBOCK,LUB,MSCF,NWS,,
LUBBOCK,LBB,RDA,NWS,+33 39 14.9,-101 48 51
LUBBOCK,LUB,RPG,NWS,,
MIDLAND/ODESSA,MAF,RDA,NWS,+31 56 36.46,-102 11 21.3
MIDLAND/ODESSA,MAF,RPG,NWS,,
MIDLAND/ODESSA,MAF,MSCF,NWS,,
MIDLAND/ODESSA,MAF,RAEG,NWS,,
NEW ORLEANS,LIX,SPG,NWS,30 01 19,-90 24 11
SAN ANGELO,SJT,RAEG,NWS,,
SAN ANGELO,SJT,MSCF,NWS,,
SAN ANGELO,SJT,RPG,NWS,,
SAN ANGELO,SJT,RDA,NWS,+31 22 16.6,-100 29 33
SHREVEPORT,SHV,RDA,NWS,+32 27 03,-93 50 28.5
SHREVEPORT,SHV,RPG,NWS,,
SHREVEPORT,SHV,MSCF,NWS,,
SHREVEPORT,SHV,RAEG,NWS,,
SLIDELL,LIX,RAEG,NWS,,
SLIDELL,LIX,MSCF,NWS,,
SLIDELL,LIX,RPG,NWS,,
SLIDELL,LIX,RDA,NWS,+30 20 12,-89 49 31.5